procurement_description,account,procurement_description_en,account_en,naics_code,naics_description,naics_confidence,unspsc_code,unspsc_description,unspsc_confidence
Whole Earth límonaði,2345 Matur á kaffistofu,Whole Earth lemonade,2345 Food at the cafeteria,312111,Soft Drink Manufacturing,90,51142018.0,Dehydrated alcohol injection,53
Yogi græn te ginger lemon,2346 Matur á kaffistofu,Yogi green tea with ginger and lemon,2346 Food at the café,311920,Coffee and Tea Manufacturing,90,50201713.0,Tea bags,64
Yogi green energy te,2347 Matur á kaffistofu,Yogi green energy tea,2347 Food at the café,,,0,,,0
Ab mjólk,2348 Matur á kaffistofu,From milk,2348 Food at the café,311511,Fluid Milk Manufacturing,90,24112210.0,Milk can,64
Arna Ab mjólk með jarðarberjabragði,2349 Matur á kaffistofu,Arna Ab milk with strawberry flavor,2349 Food at the café,,,0,,,0
Bananar,2350 Matur á kaffistofu,Bananas,2350 Meals at the café,111335,Fruit and Tree Nut Combination Farming,90,85447202.0,The diagnosis of cardiovascular devices associated with adverse incidents : therapeutic or nonsurgical and rehabilitative devices,48
bananar ódýrir 3stk,2351 Matur á kaffistofu,Bananas cheap 3 pieces,2351 Food at the cafeteria,,,0,,,0
Caramel wafers 8 stk,2352 Matur á kaffistofu,Caramel wafers 8 pcs,2352 Food in the cafeteria,,,0,,,0
Clearspring þarasnakk original,2353 Matur á kaffistofu,Clearspring is a brand of high-quality organic Japanese products.,2353 Food at the cafeteria,,,0,,,0
G-mjólk,2354 Matur á kaffistofu,Skimmed milk,2354 Food at the café,311511,Fluid Milk Manufacturing,90,85492128.0,"Bypass coronary artery,  four or more sites from left internal mammary with autologous venous tissue,  percutaneous endoscopic approach",43
Grön Balance gala epli,2355 Matur á kaffistofu,Green Balanced Gala Apple,2355 Food at the café,,,0,,,0
Grön Balance uppþvottalögur,2356 Matur á kaffistofu,Green Balance laundry detergent,2356 Food at the cafeteria,325611,Soap and Other Detergent Manufacturing,90,41103206.0,Laboratory washing detergents,54
Hleðsla kolvetnaskert 6 stk,2357 Matur á kaffistofu,Charging carbon-neutral 6 pcs,2357 Food at the café,,,0,,,0
Hleðsla súkkulaði 6 stk,2358 Matur á kaffistofu,Loading chocolate 6 pcs,2358 Food at the cafeteria,,,0,,,0
Kaffirjómi,2359 Matur á kaffistofu,Coffee cream,2359 Food in the cafeteria,,,0,,,0
Kit Kat 4 í pakka,2360 Matur á kaffistofu,Kit Kat 4 in a pack,2360 Food in the cafeteria,311352,Confectionery Manufacturing from Purchased Chocolate,90,26101711.0,Connecting rods,57
Monster energy ultra,2361 Matur á kaffistofu,Monster Energy Ultra,2361 Food at the café,,,0,,,0
MS Ab mjólk með perum,2362 Matur á kaffistofu,MS Ab milk with pears,2362 Food at the café,,,0,,,0
MS Hleðsla með karamellubragði 6stk,2363 Matur á kaffistofu,MS Charging with caramel flavor 6 pieces,2363 Food at the café,,,0,,,0
MS Léttmjólk laktósalaus,2364 Matur á kaffistofu,MS Skimmed milk lactose-free,2364 Food at the café,,,0,,,0
Pepsi Max 12 dósir,2365 Matur á kaffistofu,Pepsi Max 12 cans,2365 Food in the cafeteria,312111,Soft Drink Manufacturing,90,60121801.0,Water based poster inks,59
